                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5861,                 1.2669,                 1.8105,                0.89363,                0.94059,                0.96165,                0.61858,                  1.328,                0.90031,                   1.76,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5733,                 1.1939,                 1.8279,                0.95978,                 0.9703,                0.98765,                0.65135,                 1.2722,                0.86519,                 1.7306,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5715,                 1.2541,                 1.8114,                0.97962,                 0.9519,                0.99033,                0.64598,                 1.3075,                0.80523,                 1.7436,               0.000713,               0.000713,               0.000713
                     68,                  1.453,                 1.0877,                  1.745,                0.95131,                 0.9703,                0.98601,                0.64552,                 1.2734,                0.78697,                 1.7111,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5301,                 1.2365,                 1.7996,                0.96503,                0.94059,                0.98404,                0.66821,                 1.2481,                0.82466,                 1.7143,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5182,                 1.4313,                 1.8251,                0.96685,                 0.9505,                0.98182,                0.65407,                  1.272,                0.89249,                 1.7333,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5014,                 1.1058,                 1.7647,                0.92299,                0.94934,                0.97732,                0.64547,                 1.2681,                0.88064,                 1.7206,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5851,                 1.2807,                 1.8311,                0.94094,                0.94642,                0.98242,                0.62714,                 1.3069,                0.86724,                   1.75,               0.000614,               0.000614,               0.000614
                     73,                 1.5591,                 1.1977,                 1.8131,                0.90622,                0.95679,                0.96607,                 0.6154,                 1.3231,                0.93764,                 1.7601,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5146,                 1.2929,                 1.7602,                0.92964,                 0.9505,                0.97381,                0.64087,                 1.2667,                0.91878,                 1.7062,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5323,                 1.1501,                 1.7414,                0.94211,                0.96688,                 0.9871,                0.67225,                 1.2232,                0.81083,                 1.6717,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.494,                 1.1469,                 1.7048,                0.93259,                 0.9604,                0.97356,                0.64618,                 1.2675,                0.80659,                 1.7072,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4384,                 1.1033,                 1.7656,                0.92281,                0.94691,                  0.977,                0.64208,                 1.2612,                0.79222,                 1.7121,               0.000515,               0.000515,               0.000515
                     78,                 1.4775,                  1.155,                 1.7246,                 0.9514,                0.90099,                0.97327,                0.62358,                 1.3221,                0.80276,                 1.7352,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.461,                 1.1194,                 1.7812,                0.92748,                0.94059,                0.97804,                0.66606,                 1.2214,                0.76949,                 1.6618,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5797,                 1.3409,                 1.8282,                0.94347,                0.94059,                0.98183,                0.66289,                 1.2195,                0.77587,                 1.6665,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.5213,                 1.1972,                 1.7662,                0.94961,                 0.9505,                 0.9883,                0.66028,                 1.2658,                 0.7626,                 1.6852,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.5295,                 1.2243,                 1.8398,                0.97008,                0.96294,                0.99018,                0.66981,                 1.2406,                 0.7262,                 1.6833,               0.000416,               0.000416,               0.000416
                     83,                 1.4321,                 1.8904,                 1.7847,                0.93513,                0.99905,                 0.9919,                0.67563,                 1.2339,                0.71453,                 1.6635,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.451,                 1.1356,                 1.6798,                0.93455,                 0.9604,                0.98459,                0.64945,                 1.2526,                0.73989,                 1.6761,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.5051,                 1.1727,                 1.7458,                0.89128,                0.97402,                0.97698,                0.64969,                 1.2235,                0.75861,                 1.6521,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4345,                 1.2301,                 1.7649,                0.91296,                0.94059,                0.97508,                0.63872,                 1.2631,                0.79566,                  1.684,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4481,                 1.1108,                 1.6894,                0.94062,                0.94096,                0.98378,                0.64864,                 1.2536,                0.77445,                 1.6836,               0.000317,               0.000317,               0.000317
                     88,                 1.4661,                 1.1115,                 1.7181,                0.93329,                0.96965,                0.98814,                0.67209,                 1.2223,                0.75542,                 1.6713,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.4345,                 1.0939,                 1.7068,                0.96524,                0.94059,                0.98606,                 0.6647,                  1.231,                0.75555,                 1.6735,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.558,                 1.2923,                 1.8006,                0.95009,                 0.9423,                0.98092,                0.64365,                 1.2411,                0.76226,                 1.6618,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.5108,                 1.4476,                 1.8742,                0.94799,                 0.9505,                0.98267,                0.65806,                 1.2352,                0.76643,                 1.6598,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.5085,                 1.2407,                 1.8783,                0.95132,                0.96747,                0.98901,                0.65431,                 1.2791,                0.81096,                 1.7293,               0.000218,               0.000218,               0.000218
                     93,                 1.4866,                 1.2748,                 1.8912,                0.95387,                 0.9604,                0.99012,                0.65636,                 1.2777,                0.86205,                 1.7327,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3963,                 1.1678,                 1.8376,                0.94521,                 0.9703,                0.98743,                0.66009,                 1.2629,                0.81466,                 1.7195,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.3877,                 1.1285,                 1.7809,                0.96106,                0.97744,                0.98883,                0.65868,                 1.2629,                0.75324,                  1.713,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.3462,                 1.1016,                  1.801,                0.96135,                 0.9802,                0.98951,                0.65774,                   1.26,                0.74332,                 1.7049,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3296,                 1.0527,                 1.7469,                0.96047,                0.96229,                0.98883,                0.66669,                  1.234,                0.73617,                  1.676,               0.000119,               0.000119,               0.000119
                     98,                 1.4424,                 1.1617,                 1.8163,                0.96163,                0.93069,                0.98834,                0.67218,                 1.2242,                0.74483,                 1.6592,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3445,                 1.0583,                   1.75,                0.98371,                0.93069,                0.98889,                0.66746,                 1.2305,                0.75445,                 1.6614,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.3792,                 1.1179,                 1.7972,                0.98681,                0.93069,                0.98947,                0.67289,                 1.2235,                0.76285,                 1.6568,               5.96e-05,               5.96e-05,               5.96e-05
